fn,len,label,peaks
train_audio/oahama/XC511591.ogg,612864,oahama,4.224#16.06#5.072#3.280#1.248#9.040#17.74#12.89#7.552#2.176#10.60#6.352#14.49#16.86#18.86#11.95#0.448#0.448#0.448#0.448
train_audio/oahama/XC27358.ogg,152137,oahama,2.801#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512
train_audio/oahama/XC454888.ogg,2002860,oahama,41.86#41.04#33.09#19.14#37.57#1.552#27.06#2.368#43.88#14.09#8.529#27.86#32.26#9.329#20.11#21.42#15.07#38.39#39.33#36.42
train_audio/oahama/XC27359.ogg,499879,oahama,14.18#10.65#13.18#11.47#7.426#8.995#4.689#2.720#6.354#0.528#0.528#0.528#0.528#0.528#0.528#0.528#0.528#0.528#0.528#0.528
train_audio/oahama/XC174825.ogg,449724,oahama,1.072#8.995#13.89#10.93#4.209#5.554#2.609#12.40#10.02#6.898#0.272#0.272#0.272#0.272#0.272#0.272#0.272#0.272#0.272#0.272
train_audio/oahama/XC203251.ogg,733936,oahama,12.37#3.393#4.353#17.74#5.537#6.338#7.394#19.31#13.82#14.94#2.112#9.042#15.92#10.89#1.040#8.194#16.93#20.42#21.44#22.74
train_audio/oahama/XC203252.ogg,343562,oahama,8.560#3.440#6.352#2.384#1.152#9.792#7.328#4.544#0.352#0.352#0.352#0.352#0.352#0.352#0.352#0.352#0.352#0.352#0.352#0.352
train_audio/oahama/XC174828.ogg,524121,oahama,2.785#10.23#3.586#11.11#7.749#9.382#6.836#13.16#5.459#15.85#14.76#1.617#12.00#0.560#0.560#0.560#0.560#0.560#0.560#0.560
train_audio/oahama/XC174830.ogg,553378,oahama,2.706#1.056#5.524#11.43#8.966#14.34#9.815#12.56#3.826#16.57#15.14#7.301#4.675#0.256#0.256#0.256#0.256#0.256#0.256#0.256
train_audio/oahama/XC174829.ogg,1849887,oahama,44.11#20.35#28.89#27.93#13.32#2.704#35.36#34.28#40.86#21.29#54.78#48.19#47.23#53.84#49.36#14.44#23.28#17.12#42.16#32.51
train_audio/oahama/XC210190.ogg,296751,oahama,4.196#8.328#6.951#5.445#2.610#0.464#0.464#0.464#0.464#0.464#0.464#0.464#0.464#0.464#0.464#0.464#0.464#0.464#0.464#0.464
train_audio/oahama/XC27360.ogg,436349,oahama,0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768#0.768
train_audio/oahama/XC317124.ogg,597682,oahama,1.472#14.86#16.06#6.289#11.55#7.090#8.578#2.832#13.10#4.561#10.54#3.633#5.441#17.50#13.94#0.672#0.672#0.672#0.672#0.672
train_audio/oahama/XC210189.ogg,962978,oahama,15.01#2.977#27.14#16.91#18.92#24.29#8.915#5.666#12.14#10.42#1.984#28.26#25.16#13.83#20.28#26.31#17.78#21.73#7.635#1.024
train_audio/belkin1/XC51775.ogg,416287,belkin1,1.168#4.352#6.432#2.736#5.568#11.74#8.016#9.520#10.70#0.368#0.368#0.368#0.368#0.368#0.368#0.368#0.368#0.368#0.368#0.368
train_audio/belkin1/XC357970.ogg,273408,belkin1,2.336#4.416#6.032#3.488#1.296#5.216#7.072#0.496#0.496#0.496#0.496#0.496#0.496#0.496#0.496#0.496#0.496#0.496#0.496#0.496
train_audio/belkin1/XC628813.ogg,6931968,belkin1,104.6#72.04#103.5#3.392#147.6#73.53#146.1#30.40#8.688#136.6#206.8#130.6#55.53#62.38#29.16#4.464#204.1#129.6#2.576#203.1
train_audio/belkin1/XC612651.ogg,925362,belkin1,22.70#23.94#24.75#17.66#5.104#10.99#1.120#10.03#4.240#18.46#27.34#25.55#26.50#21.42#20.27#13.29#12.45#6.849#8.241#3.200
train_audio/belkin1/XC599554.ogg,683520,belkin1,9.552#10.60#1.84#11.50#12.48#14.81#4.64#6.672#16.12#18.06#8.144#3.2#5.488#16.96#13.84#0.88#0.08#0.08#0.08#0.08
train_audio/belkin1/XC565018.ogg,1816320,belkin1,13.76#31.89#17.44#6.288#44.39#24.80#42.82#14.91#4.368#50.79#27.28#30.67#2.944#45.20#18.85#32.80#8.513#26.00#52.83#9.313
train_audio/belkin1/XC383433.ogg,266658,belkin1,3.509#2.692#4.935#1.201#5.849#0.384#0.384#0.384#0.384#0.384#0.384#0.384#0.384#0.384#0.384#0.384#0.384#0.384#0.384#0.384
train_audio/belkin1/XC451735.ogg,4164864,belkin1,89.23#108.4#14.60#114.9#21.76#8.768#116.9#28.76#13.52#52.57#20.88#113.9#76.19#30.04#115.9#1.792#27.66#94.83#66.56#51.68
train_audio/belkin1/XC388263.ogg,312576,belkin1,5.684#1.313#3.538#4.803#8.006#2.369#9.351#6.901#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512#0.512
train_audio/belkin1/XC451359.ogg,462336,belkin1,2.672#5.152#1.072#9.008#11.64#13.52#10.52#12.70#7.648#3.760#0.272#0.272#0.272#0.272#0.272#0.272#0.272#0.272#0.272#0.272
